S/N,Title,Images,Shelflist,Position,Author ,Category,SubCategory,Publisher,Datepublished,Description,Tags
4038,How toys bounce,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-toys-bounce.jpg,25-5,074,Helen Whittaker,Sách tham khảo,Mọi thứ vận hành ra sao,Smart Apple Media,2012,"Explains how different pushing and pulling forces help bouncing toys work, and the effect they have on the toy's movements.",10-12 tuổi
4039,How toys float,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-toys-roll.jpg,25-5,072,Helen Whittaker,Sách tham khảo,Mọi thứ vận hành ra sao,Smart Apple Media,2012,Explains how pushing and pulling forces make floating toys move in different ways. Includes an activity and an experiment.,10-12 tuổi
4040,How toys roll,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-toys-roll.jpg,25-5,085,Helen Whittaker,Sách tham khảo,Mọi thứ vận hành ra sao,Smart Apple Media,2012,"Explains how pushing and pulling forces help wheeled toys move, and how they change the toy's direction or speed.",10-12 tuổi
4041,How toys roll,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-toys-roll.jpg,25-5,073,Helen Whittaker,Sách tham khảo,Mọi thứ vận hành ra sao,Smart Apple Media,2012,"Explains how pushing and pulling forces help wheeled toys move, and how they change the toy's direction or speed.",10-12 tuổi
4045,How we use materials: glass,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/How-we-use-materials-glass.jpg,25-5,015,Holly Wallace,Sách tham khảo,Mọi thứ vận hành ra sao,Raintree ,2005,‘How We Use Glass’ will give you answers to these and many other questions: How do we make glass? What sort of glass do we use to send emails? Why don’t we make buildings out of glass?,10-12 tuổi
4088,Huzzah for spring,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Huzzah-for-spring.jpg,24-6,040,Tina Gallo,Sách học và hoạt động,Hoạt động (7-9 tuổi),Simon Scribbles,2014,"Celebrate spring with Mike the Knight with this interactive coloring and activity book that includes a sheet of stickers!

Join Mike and his sister, Evie, as they play games, collect flowers for their mom, Queen Martha, and have knightly contests in the great outdoors with their friends Trollee, Sparkie, and Squirt. This coloring and activity book comes with a sheet of stickers for even more Mike the Knight fun!
",7-9 tuổi 
4218,I use a mouse,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/I-use-a-mouse.jpg,25-5,081,Kelli Hicks,Sách tham khảo,Mọi thứ vận hành ra sao,Rourke Educational Media,2013,"Early Readers Learn About A Computer Mouse, Keyboard, Monitor And Other Functions Of A Computer.",10-12 tuổi
4305,I'm a scientist: My body,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/I_m-a-scientist-My-body.jpg,24-6,024,Charlie Gardner,Sách học và hoạt động,Hoạt động (7-9 tuổi),DK Children,2011,"Introducing super sized science fun in bite-sized guides!
With fun, age appropriate experiments and lift the flap conclusions, the I'm a Scientist series explains science in easy to grasp terms with simple photographs and illustrations.

Little people can learn amazing facts about their bodies in I'm a Scientist: My Body.",7-9 tuổi
4375,Indy cars,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/indy-cars.jpg,27-3L,017,Kate Riggs,Sách tham khảo,Phát minh,The Creative Company,2010,"A kindergarten-level introduction to Indy cars, covering their speed, drivers, role in racing sports, and such defining features as wings.",10-12 tuổi
4409,Investigating sound,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Investigating-sound.jpg,24-5,047,Sally Walker,Sách học và hoạt động,Hoạt động (7-9 tuổi),Lerner Publications an imprint of Lerner Publishing,2010,"People, animals, machines, and wind all make sounds. But have you ever seen how sound waves move? Or made a sound wave bounce?",7-9 tuổi
4411,Investing,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/investing.jpg,25-5,024,Jessica Morrison,Sách tham khảo,Mọi thứ vận hành ra sao,Weigl,2009,"Knowledge of basic money matters is key to financial security. Everyday Economics provides the foundation for understanding money management.

What are the advantages of investing money? What is the stock exchange? These questions and more are answered in Investing. In addition, readers will learn about interest and the types of investments provided by different companies.",10-12 tuổi
4422,Is it heavy or light?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Is-it-heavy-or-light.jpg,25-5,079,Susan Hughes,Sách tham khảo,Mọi thứ vận hành ra sao,Crabtree Publishing Company,2009,This title has mass appeal! Colorful images and clear and concise text invite readers to look at the property of weight.,10-12 tuổi
4423,Is it magnetic or nonmagnetic?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Is-it-magnetic-or-nonmagnetic.jpg,25-5,083,Trudy Rising,Sách tham khảo,Mọi thứ vận hành ra sao,Crabtree Publishing Company,2012,"Discusses the properties of matter, focusing on whether objects are magnetic or not with definitions and examples to illustrate.",10-12 tuổi
4647,Junior scientists: experiment with heat,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Junior-scientists-experiment-with-heat.jpg,24-6,074,Sophie Lockwood,Sách học và hoạt động,Hoạt động (7-9 tuổi),Cherry Lake Publishing,2010,"Introduces simple scientific principles involving heat, and provides instructions for experiments that can be done at home to prove them.",7-9 tuổi
4648,Junior scientists: experiment with magnets,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Junior-scientists-experiment-with-magnets.jpg,24-5,036,Christine Taylor-Butler,Sách học và hoạt động,Hoạt động (7-9 tuổi),Cherry Lake Publishing,2013,Presents experiments and activities that demonstrate the concepts and scientific principles of magnetism.,7-9 tuổi
4718,Keeping in touch,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/keeping-in-touch.jpg,25-5,063,Brylee Gibson,Sách tham khảo,Mọi thứ vận hành ra sao,Scholastic Academic,2009,dancing penguin singing whales and light-emitting algae- find out about the amazing ways that animals and plants communicate.,10-12 tuổi
4916,Learn to draw machines,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Learn-to-draw-machines.jpg,27-4,032,Jordan McGill,Sách tham khảo,Phát minh,Weigl Pub Inc,2011,"Have you always wanted to learn how to draw your favorite machines? Learn to Draw will teach you that and more. Machines features six fun topicsfrom tractors to monster trucks. Start by learning about the machine with vibrant photos and engaging facts. Then, use easy-to-follow diagrams to draw the machine. Go to AV2books.com and use your access code to find instructional videos on how to draw each subject. Learn to Draw makes it fun and easy for beginners to learn about and draw their favorite machines.",10-12 tuổi
4958,Let's look at a knife and fork,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Let_s-look-at-a-knife-and-fork.jpg,25-5,064,Angela Royston,Sách tham khảo,Mọi thứ vận hành ra sao,Raintree,2006,Helps young readers discover and understand the world around them. This book is packed with facts and photographs. It encourages children to investigate an object using all of their senses. It takes a familiar item made from a single material and explores the different properties and uses of that material.,10-12 tuổi
4981,Life science fair projects,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/life-science-fair-projects.jpg,24-6,042,Jordan McGill,Sách học và hoạt động,Hoạt động (7-9 tuổi),Av2 by Weigl,2012,"Get inside tips on how to succeed in a science fair. Each title in Science Fair Projects takes you from project selection to completion. Learn about the scientific method and how to impress the judges as you explore six exciting projects. Then, go online to find fun videos, activities, and even more projects.",7-9 tuổi
4989,Light experimenting with science,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Light-experimenting-with-science.jpg,25-4,001,Antonella Meiani,Sách tham khảo,Mọi thứ vận hành ra sao,Lerner Pub Group,2002,"Experiments with light explain shadows and colors, and demonstrate such concepts as reflection and refraction.",10-12 tuổi
5078,Little Miss Princess: who shall I be today,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Little-Miss-Princess-who-shall-I-be-today.jpg,24-4,016,Roger Hargreaves,Sách học và hoạt động,Hoạt động (0-6 tuổi),Egmont,2013,"Life in the castle is lots of fun, but sometimes Little Miss Princess dreams of being someone else...Help her dress up in different outfits and see which one you like best!",0-6 tuổi
5079,Little Miss Princess: who shall I be today,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Little-Miss-Princess-who-shall-I-be-today.jpg,24-4,004,Roger Hargreaves,Sách học và hoạt động,Hoạt động (0-6 tuổi),Egmont,2013,"Life in the castle is lots of fun, but sometimes Little Miss Princess dreams of being someone else...Help her dress up in different outfits and see which one you like best!",0-6 tuổi
5264,Lost sight: true survival stories,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Lost-sight-true-survival-stories.jpg,27-4,054,Sandra Markle,Sách tham khảo,Phát minh,Lerner Publications,2010,"• A father who was blind has an eye tissue transplant that lets him see for the first time.
• A man whose own body attacked parts of his eye receives artificial coreneascorneas and is able to see again..
• A musician with faulty cells in the retinas of his eyes is given gene therapy to correct his failing vision.

That’s powerful medicine!

Explore the power of medicine through the true stories of people who underwent amazing treatments to regain their sight. Find out how doctors use the latest medical breakthroughs to improve the lives of patients who lost the power to see. You’ll also find tips on eye safety, as well as vivid descriptions of the eye’s many parts and how they work together.",10-12 tuổi
5377,Magnet power,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Magnet-power.jpg,25-5,080,Buffy Silverman,Sách tham khảo,Mọi thứ vận hành ra sao,Rourke Educational Media,2011,Early Readers Investigate Magnets.,10-12 tuổi
5380,"Magnets: pulling together, pushing apart",https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Magnets-pulling-together-pushing-apart.jpg,25-5,028,Natalie Rosinsky,Sách tham khảo,Mọi thứ vận hành ra sao,Picture Window Books,2002,"Have you ever wondered what makes magnets work? Magnets, by Natalie M. Rosinsky introduces many different kinds of magnets, such as motors, compasses, and Earth’s magnetic poles. Clear text, vivid illustrations, fun facts, and simple experiments make this book a great introduction to magnets.",10-12 tuổi
5411,Make your own books,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Make-your-own-books.jpg,27-3L,006,Anna-Marie D'Cruz,Sách tham khảo,Phát minh,PowerKids Press,2009,"Instill the importance of books by having your readers create all kinds of books. Projects include making a flap book, pop-up book, address book, photo album, and an eco-notebook.",10-12 tuổi
5413,Make your own slippers and shoes,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Make-your-own-slippers-and-shoes.jpg,27-4,016,Anna-Marie D'Cruz,Sách tham khảo,Phát minh,PowerKids Press,2009,"Presents instructions for creating several styles of footwear from common craft materials, including sandals, flip-flops, clogs, boots, slippers, and moccasins.",10-12 tuổi
5453,Map scales,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Map-scales.jpg,25-5,092,Mary Wade,Sách tham khảo,Mọi thứ vận hành ra sao,Children's Press,2003,"From a map of the world to a map of the zoo, maps of all kinds introduce young explorers to the concept of map scales, taking them step-by-step through the process of finding two points on a map, measuring the distance between them, and using the legend to calculate distance.",10-12 tuổi
5454,Mapping shipwrecks with coordinate planes,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Mapping-shipwrecks-with-coordinate-planes.jpg,25-5,044,Julia Wall,Sách tham khảo,Mọi thứ vận hành ra sao,Capstone Press,2011,"Look out! Throughout time countless ships have wrecked on the seas and sunk to watery depths. Practicing coordinate knowledge, you will learn how marine technology aids in the exploration and study of amazing shipwrecks.",10-12 tuổi
