S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
4261,Icy dwarf planets,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Icy-dwarf-planets.jpg,26-6,040,Mary Carson,Sách tham khảo,Vũ trụ,Bailey Books,"Presents information about icy dwarf planets, including fast facts, history, and technology used to study them.",10-12 tuổi
4271,If Nathan were here,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/If-Nathan-were-here.jpg,7-4,021,Mary Bahr,Sách truyện thiếu nhi,7 - 9 tuổi,Eerdmans Books for Young Readers,"If Nathan were here, we would meet in our tree fort.. we would take the shortcut through the woods... we would try to splash each other in the puddles... 

In If Nathan were here, author Mary Bahr gently explores the grief of a young boy whose best friend has died. With the help of an understanding teacher, a kind neighbor, and an empathetic parent, the boy finds ways to give expression to his questions and sorrow and to reach out to someone else who needs him.

Mary Bahr's evocative text conveys a child's grief with honesty and sensitivity, while Karen Jerome's soft watercolors poignantly capture the tender nature of children's friendships.",Age 7 - 9 
4286,If you were an exclamation point,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/If-you-were-an-exclamation-point.jpg,9-4,048,Shelly Lyons,Sách truyện thiếu nhi,7 - 9 tuổi,Picture Window Books,"If you were an exclamation point, you would yell! You would scream! You would shout, Hey! Over here! What else could you do if you were an exclamation point?",Age 7 - 9 
4329,In a minute,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/In-a-minute.jpg,15-2,052,Shelagh McNicholas,Sách truyện thiếu nhi,7 - 9 tuổi,"Meadowside Children's Books
","Molly is a very busy girl, and there are only so many things she can do. So, when her mum wants her to get ready for bed, she yells 'in a minute!'",Age 7 - 9 
4332,"In like a lion, out like a lamb",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/In-like-a-lion-out-like-a-lamb.jpg,16-4,029,Marion Dane Bauer,Sách truyện thiếu nhi,7 - 9 tuổi,Holiday House,"Rattling windows with the roar of a late-winter storm, March shows up like a lion - wild and messy, muddy and wet.  In rhythmic, exuberant text, Newbery Honor-author Marion Dane Bauer conveys the changeable nature of spring weather, as the lion makes way for the lamb - with a huge sneeze! - as the trees and flowers spring into bloom. 

Full of humor and motion, Caldecott-winning illustrator Emily Arnold McCully's soft watercolors bring the blustering lion and gentle lamb to life. From hail and wet snow to vibrant green fields full of blossoms, the illustrations grow brighter, springing into new life - and hinting and the summer to come.

The lively text and paintings illustrate the ways in which we personify spring weather, making this book a perfect introduction to figurative language - and lots of fun to read as well.",Age 7 - 9 
4341,In the garden with Dr Carver,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/In-the-garden-with-Dr-Carver.jpg,10-1,026,Susan Grigsby,Sách truyện thiếu nhi,7 - 9 tuổi,Albert Whitman & Company,"Sally is a young girl living in rural Alabama in the early 1900s, a time when people were struggling to grow food in soil that had been depleted by years of cotton production. One day, Dr. George Washington Carver shows up to help the grown-ups with their farms and the children with their school garden. He teaches them how to restore the soil and respect the balance of nature. He even prepares a delicious lunch made of plants, including “chicken” made from peanuts. And Sally never forgets the lessons this wise man leaves in her heart and mind. Susan Grigsby’s warm story shines new light on a Black scientist who was ahead of his time.",Age 7 - 9 
4378,Insect detective,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Insect-detective.jpg,13-2,010,Steve Voake,Sách truyện thiếu nhi,7 - 9 tuổi,Candlewick,"Right now, all around us, thousands of insects are doing strange and wonderful things: wasps are building nests, ants are collecting food, and dragonflies are readying for the hunt. But it's not always easy to catch sight of these six-legged creatures; you have to know where to look. Guided by this book, readers will happily become insect detectives and find out just what those bugs are up to.
Back matter includes an index.",Age 7 - 9 
4379,Insect detective,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Insect-detective.jpg,13-2,009,Steve Voake,Sách truyện thiếu nhi,7 - 9 tuổi,Candlewick,"Right now, all around us, thousands of insects are doing strange and wonderful things: wasps are building nests, ants are collecting food, and dragonflies are readying for the hunt. But it's not always easy to catch sight of these six-legged creatures; you have to know where to look. Guided by this book, readers will happily become insect detectives and find out just what those bugs are up to.
Back matter includes an index.",Age 7 - 9 
4380,Insect detective,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Insect-detective.jpg,13-2,008,Steve Voake,Sách truyện thiếu nhi,7 - 9 tuổi,Candlewick,"Right now, all around us, thousands of insects are doing strange and wonderful things: wasps are building nests, ants are collecting food, and dragonflies are readying for the hunt. But it's not always easy to catch sight of these six-legged creatures; you have to know where to look. Guided by this book, readers will happily become insect detectives and find out just what those bugs are up to.
Back matter includes an index.",Age 7 - 9 
4383,Inside a house that is haunted,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Inside-a-house-that-is-haunted.jpg,17-1,055,Alyssa Satin Capucilli,Sách truyện thiếu nhi,7 - 9 tuổi,Cartwheel Books,"The author/illustrator team of Inside a Barn in the Country uses picture clues to tell this funny story about a spider, a cat, a bat, and many other creatures inside a spooky house. Full color.",Age 7 - 9 
4388,Instructions for me,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Instructions-for-me.jpg,15-2,013,Cinthia Jan,Sách truyện thiếu nhi,7 - 9 tuổi,Magic World Media,"Much more than a simple listing of facts about DNA, this informative book combines playful rhymes, high-quality illustrations, and a humorous story with relatable, well-developed characters to guide children through a personal discovery of DNA and provide them with a motivation and process for scientific reasoning and questioning. Two young children search everywhere for the instructions used for making them - in the chest under the bed and a dark forest nook, on a mountain ledge high overhead and a shelf holding books - only to be led to the unbelievable discovery that the instructions are right there inside them in a jillion places all at once. Written to be accessible to young children, this book details key information on where DNA is housed and how it is used in our daily functions, all while laying a foundation for scientific inquiry and pursuit.",Age 7 - 9 
4404,Investigating Earth: plants,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Investigating-Earth-plants.jpg,27-6,064,Kate Walker,Sách tham khảo,Trái đất của chúng ta,MacMillan Education,This interesting book is part of an informative series that introduces young students to the combination of living and non-living things that support life on Earth. Engaging text and dynamic visual support help the students comprehend the ideas of balance in nature and Earth's cycles.,10-12 tuổi
4407,Investigating UFOs and aliens,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Investigating-UFOs-and-aliens.jpg,26-6,050,Paul Mason,Sách tham khảo,Vũ trụ,A & C Black Publishers,Extreme!' is an action-packed series that brings together incredible tales and secret facts about the most radical things you really want to know. Discover the fascinating stories behind how things work and why they happen.,10-12 tuổi
4425,Is that a coconut? Yuck,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Is-that-a-coconut-Yuck.jpg,11-3,023,Tony Bradman,Sách truyện thiếu nhi,7 - 9 tuổi,Egmont,"Little Pirate sees something fly by in the night sky and wonders what it could be. As he asks questions and makes observations, Little Pirate - along with the reader learns all about nocturnal animals. Eleven-spread case bound book with a gatefold back cover and an inset paper wheel that turns to transport Little Pirate into a world of wonder.",Age 7 - 9 
4433,Islands,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Islands.jpg,27-6,032,Ann Heinrichs,Sách tham khảo,Trái đất của chúng ta,Cherry Lake Publishing,"Looks at the world's islands, discussing different types of islands and the impact of global warming on their inhabitants, and using mathematics for such topics related to islands as size, maps, population, and distance.",10-12 tuổi
4441,"It's a big world, little pig",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/It_s-a-big-world-little-pig.jpg,14-4,015,Kristi Yamaguchi,Sách truyện thiếu nhi,7 - 9 tuổi,Sourcebooks Jabberwocky,"Poppy, the adorable, persistent, dreaming-big pig, has a new adventure in store for her: the World Games ice-skating championship in Paris! Poppy is nervous about meeting so many new people in a new place. But, ever courageous and supported by her family (Emma, too!), Poppy embarks upon this exciting adventure head-on. She meets a snowboarding Panda, a Maltese who skies, and two fellow skaters, a Crane and a Kangaroo. Poppy begins to realize that although these animals look different, act different, and are from different places, they are all the same at heart. They all smile in the same language!",Age 7 - 9 
4545,Jack's fantastic voyage,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Jack_s-fantastic-voyage.jpg,14-4,032,Michael Foreman,Sách truyện thiếu nhi,7 - 9 tuổi,‎Andersen Press,"Jack’s grandfather tells tales so tall that the other children say they must be made up. Jack thinks they are too, until the night Grandfather takes him on an incredible trip in his boat - and then Jack doesn’t know what to believe.",Age 7 - 9 
4547,Jacob O'Reilly wants a pet,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Jacob-O_Reilly-wants-a-pet.jpg,16-4,020,Lynne Rickards,Sách truyện thiếu nhi,7 - 9 tuổi,Hodder Children's Books,"Jacob O'Reilly had tried all he could to convince mum and dad he'd be ever so good, an absolute angel, the greatest son yet, if only they'd let him have one little pet! But cats make Mum sneeze and Dad's sure dogs have fleas. Will Jacob ever be able to have a pet?",Age 7 - 9 
4590,Jeremy Jackrabbit's jumping journey,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Jeremy-Jackrabbit_s-jumping-journey.jpg,17-2,056,Barbara deRubertis,Sách truyện thiếu nhi,7 - 9 tuổi,Kane Press,Jeremy Jackrabbit is excited to enter the jump rope contest. Will he get the jitters - or will his joyful jumping win him a trip to the Jump Rope Hall of Fame?,Age 7 - 9 
4649,Jupiter,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Jupiter.jpg,26-6,066,Ariel Kazunas,Sách tham khảo,Vũ trụ,Cherry Lake Publishing,"Learn all about Jupiter, our solar system's largest planet, and its many moons.",10-12 tuổi
4711,Keep it clean: germ free,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Keep-it-clean-germ-free.jpg,26-3,067,Cecilia Minden,Sách tham khảo,Cuộc sống thường ngày,Cherry Lake Publishing,Learn important lessons about germ control and staying healthy.,10-12 tuổi
4715,Keeping clean,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Keeping-clean.jpg,26-3,020,Honor Head,Sách tham khảo,Cuộc sống thường ngày,"Franklin Watts
",An overview for kids describing why good hygiene is important for health. Includes discussion topics.,10-12 tuổi
4740,"Kick the football, Charlie Brown",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Kick-the-football-Charlie-Brown.jpg,9-4,065,Charles Schulz,Sách truyện thiếu nhi,7 - 9 tuổi,Simon Spotlight,"It’s time for football! Charlie Brown is determined to kick the football higher and farther than anyone in the world. But Lucy enjoys pulling the football away just when he is about to kick it. This time the Peanuts gang rallies around Charlie Brown and supports him in his goal. Charlie Brown even has a wonderful dream where he kicks the football far, far away. Will his dream finally become a reality?",Age 7 - 9 
4741,Kid Cowboy: the best friend boom,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Kid-Cowboy-the-best-friend-boom.jpg,12-1,074,Catherine Coe,Sách truyện thiếu nhi,7 - 9 tuổi,Hodder & Stoughton,"Casper is very excited about the lasso competition at the rodeo, and his best friend, Pete, helps him to practice. But when Casper wins the contest, he gets lots of new friends. Will he remember who his true friend really is?",Age 7 - 9 
4775,Kipper's first pet,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Kipper_s-first-pet.jpg,17-2,076,Roderick Hunt,Sách truyện thiếu nhi,7 - 9 tuổi,Oxford University Press,"Introducing your child to new situations through entertaining and sensitively written stories, each title in this series is packed with facts and humour, making them perfect for reading together.",Age 7 - 9 
4800,Knight night,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Knight-night.jpg,11-4,024,Owen Davey,Sách truyện thiếu nhi,7 - 9 tuổi,Templar,"Come on a bedtime adventure with one little knight as he rides through forests to reach his bedroom, battles crocodiles to brush his teeth and climbs the tallest tower to get into bed. This exciting and imaginative bedtime tale is told through Owen Davey's charming and witty words and illustrations - making this a perfect k-nightly read for every young adventurer.",Age 7 - 9 
4818,Koala Lou,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Koala-Lou.jpg,18-4,031,Mem Fox,Sách truyện thiếu nhi,7 - 9 tuổi,The Trumpet Club,"When Koala Lou’s mother becomes so busy that she forgets to tell her firstborn how much she loves her, Koala Lou enters the Bush Olympics, intending to win an event and her mother’s love all at one time. ",Age 7 - 9 
4824,Kung Fu kangaroos,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Kung-Fu-kangaroos.jpg,8-4,056,Sally Grindley,Sách truyện thiếu nhi,7 - 9 tuổi,Orchard,Noah and his wife have travelled to sunny Australia in search of kangaroos. But kangaroos like to box! Has Noah met his match?,Age 7 - 9 
4871,Landslides,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Landslides.jpg,27-6,074,Rochelle Baltzer,Sách tham khảo,Trái đất của chúng ta,Big Buddy Books,"Clear, easy-to-read text pairs with oversized, gripping photos to introduce readers to the basics of landslides. Readers will learn why they happen, where they occur, and how they change land and affect communities. Types of landslides are also explained. A case study chapter discusses the 2010 Gansu landslide, while a map aids comprehension. Damage, safety methods, rescue missions, measurement, and prediction are also covered. ""Breaking News"" fact boxes appear throughout, and the book concludes with a ""News Flash!"" facts page. This compelling title will leave readers feeling more informed about the landslides they hear about in the news. ",10-12 tuổi
4921,Learning to write: adjectives,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Learning-to-write-adjectives.jpg,26-3,007,Deborah Lambert,Sách tham khảo,Cuộc sống thường ngày,Weigl Publication,"Introduces the concept of an adjective, using photographs of state landmarks and flags to help identify adjectives and use them properly in a sentence.",10-12 tuổi
4922,Learning to write: adverbs,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Learning-to-write-adverbs.jpg,26-3,006,Deborah Lambert,Sách tham khảo,Cuộc sống thường ngày,Weigl Publication,Acquire the tools needed to write effectively using adverbs while also learning about American Indian art and culture.,10-12 tuổi
4966,Lettuce grows on the ground,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Lettuce-grows-on-the-ground.jpg,27-5,092,Mari Schuh,Sách tham khảo,Trái đất của chúng ta,Capstone Press,Simple text and photographs describe how lettuce grows on the ground.,10-12 tuổi
4978,Life in a wetland,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Life-in-a-wetland.jpg,27-6,049,Carol Lindeen,Sách tham khảo,Trái đất của chúng ta,Capstone Press,"Text and photographs introduce the wetland biome, describing its environment, plants, and animals such as snails, cranes, and alligators.",10-12 tuổi
4999,"Line, bar, and circle graphs",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Line-bar-and-circle-graphs.jpg,25-6,004,Claire Piddock,Sách tham khảo,Cơ thể,Crabtree Publishing,"Learn all about bar, line, and circle graphs, as well as concepts such as data, scale, maximum, and minimum.",10-12 tuổi
5159,Living in tropical rain forests,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Living-in-tropical-rain-forests.jpg,27-5,096,Tea Benduhn,Sách tham khảo,Trái đất của chúng ta,Gareth Stevens Publishing,"Describes conditions in tropical rain forests, how people can live in the rain forest, the lives of traditional rain forest peoples, and the effects of the modern world on the rain forest.",10-12 tuổi
5166,Living with disease: cancer,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Living-with-disease-cancer.jpg,25-6,044,Bill McAuliffe,Sách tham khảo,Cơ thể,Creative Education,"A look at cancer, examining the ways in which the disease develops, its different forms and symptoms, the effects it has on a person's daily life, and ongoing efforts to find a cure.",10-12 tuổi
5167,Living with disease: heart disease,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Living-with-disease-heart-disease.jpg,25-6,043,Lori Dittmer,Sách tham khảo,Cơ thể,Creative Education,"A look at heart disease, examining the ways in which it develops, its symptoms and diagnosis, the effects it has on a person's daily life, and improvements in medicinal and surgical treatments.",10-12 tuổi
5228,Looking at aerial photographs,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Looking-at-aerial-photographs.jpg,27-6,011,Helen Belmont,Sách tham khảo,Trái đất của chúng ta,Franklin Watts,"This series, aimed at children aged 8-11, develops the skills of a true geographer, including setting survey questions, analysing data and interpreting aerial photographs. Simple, clear text and vibrant full-colour photographs and diagrams are included.",10-12 tuổi
5230,Looking at landforms,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Looking-at-landforms.jpg,27-6,073,Ellen Mitten,Sách tham khảo,Trái đất của chúng ta,Rourke Educational Media,Young readers learn about various landforms through simple text and photos.,10-12 tuổi
5435,Manage feelings,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Manage-feelings.jpg,26-3,047,Sarah Tieck,Sách tham khảo,Cuộc sống thường ngày,Abdo Publishing,"Managing feelings is one component of a healthy lifestyle. In this book, engaging text pairs with striking photos to explore emotions such as anger, sadness, and fear, including the fight-or-flight response. Readers will learn what causes feelings, including how their brain and body work together to act on emotions, and how to manage and express feelings. Manage feelings will inspire students to make smart choices to keep them healthy throughout their lives! ",10-12 tuổi
5441,Mangled by a hurricane ,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mangled-by-a-hurricane.jpg,27-6,022,Miriam Aronin,Sách tham khảo,Trái đất của chúng ta,Bearport Publishing,Eyewitness accounts and incredible photos bring to life the experiences of ordinary people who faced danger–and lived to tell their stories.,10-12 tuổi
5445,Manners matter in the classroom,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Manners-matter-in-the-classroom.jpg,26-3,022,Lori Mortensen,Sách tham khảo,Cuộc sống thường ngày,Capstone Press,"Who is using good manners in the classroom? Can you guess who is using bad manners? Take a peek at students during their day to see how they use good manners to be kind, and keep the classroom quiet and clean.",10-12 tuổi
5446,Manners matter on the playground,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Manners-matter-on-the-playground.jpg,26-3,025,Lori Mortensen,Sách tham khảo,Cuộc sống thường ngày,Capstone Press,"Who is using good manners on the playground? Can you guess who is using bad manners? Take a peek at students at recess to see how they use good manners to take turns, play fair, and share.",10-12 tuổi
5447,Manners on holiday,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Manners-on-holiday.jpg,24-3,013,Arianna Candell,Sách tham khảo,Đạo đức,Salariya Book Company Ltd,"Through pleasant, colourfully illustrated stories, Manners shows children how to resolve small difficulties they might face in their daily lives. These stories help children to develop their social skills in a fun and friendly way. In this book, our children will learn to how to behave with other kids, and to have fun together while enjoying their holiday.",10-12 tuổi
5483,Mars,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mars.jpg,26-6,054,Charnan Simon,Sách tham khảo,Vũ trụ,Cherry Lake Publishing,Discover what it's like on the surface of the red planet and find out how space missions have helped scientists learn more about it.,10-12 tuổi
5587,Measles and mumps,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Measles-and-mumps.jpg,25-6,042,L. H. Colligan,Sách tham khảo,Cơ thể,Cavendish Square Publishing,This highly readable and extremely helpful series provides young readers with all they need to know about a variety of medical conditions.,10-12 tuổi
5592,"Meat, fish and eggs",https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Meat-fish-and-eggs.jpg,26-3,036,Julia Adams,Sách tham khảo,Cuộc sống thường ngày,Wayland,These books aim to develop children's knowledge and understanding of nutrition and where their food comes from. Each title will help readers to develop communication and literacy skills and include a step-by-step recipe.,10-12 tuổi
5641,Mercury,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mercury.jpg,26-6,067,Ariel Kazunas,Sách tham khảo,Vũ trụ,Cherry Lake Publishing,Find out about the closest planet to the Sun and learn why its years are so short.,10-12 tuổi
5443,Mind your manners at the park,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mind-your-manners-at-the-park.jpg,24-3,014,Arianna Candell,Sách tham khảo,Đạo đức,Salariya Book Company Ltd,"Through pleasant, colourfully illustrated stories, Manners shows children how to resolve small difficulties they might face in their daily lives. These stories help children to develop their social skills in a fun and friendly way. In this story, Lily, Julia, Peter, Jim and the other children all play in the park. They learn to share the playground swings with other kids, to ride their bikes safely, to avoid littering, and to have fun together while being considerate of others in the park.",10-12 tuổi
5444,Mind your manners in school,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mind-your-manners-in-school.jpg,24-3,015,Arianna Candell,Sách tham khảo,Đạo đức,Salariya Book Company Ltd,"Brief stories describe classroom friendships, the importance of silence when the teacher is giving a lesson, the friendly way for borrowing and sharing storybooks, picking up toys after playtime, and other typical school situations. Several classroom games are suggested as activities for creative learning and play.",10-12 tuổi
5804,Money smart: borrowing,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Money-smart-borrowing.jpg,26-3,029,Dennis Brindell Fradin,Sách tham khảo,Cuộc sống thường ngày,Cavendish Square Publishing,"Answers questions students ask when learning about financial skills needed for adulthood, including borrowing money through mortgages, car loans, college loans, and credit cards.",10-12 tuổi
5906,Mountains,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mountains-1.jpg,27-5,014,Katie Marsico,Sách tham khảo,Trái đất của chúng ta,Cherry Lake Publishing,This book uses math and science to help students learn about mountains. Math challenge questions provide students with the opportunity to apply math skills as they learn about the characteristics of mountains.,10-12 tuổi
5907,Mountains,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Mountains-2.jpg,27-6,034,Jen Green,Sách tham khảo,Trái đất của chúng ta,PowerKids Press,"Explores the world's mountains, discussing formation, the plants and animals that live there, and how they are used by people.",10-12 tuổi
6086,My brother and sister,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-brother-and-sister.jpg,24-3,016,Katie Dicker,Sách tham khảo,Đạo đức,Wayland,"Looking at the different relationships people have with their brothers and sisters, and how to build on these relationships and keep them strong.",10-12 tuổi
6092,My brothers and sisters,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-brothers-and-sisters.jpg,26-3,078,Emily Sebastian,Sách tham khảo,Cuộc sống thường ngày,PowerKids Press,"This engaging book celebrates siblings. It introduces the many kinds of siblings a kid can have, such as adopted siblings and half siblings.",10-12 tuổi
6101,My dad,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-dad-1.jpg,26-3,079,Emily Sebastian,Sách tham khảo,Cuộc sống thường ngày,PowerKids Press,"Though he may be known as daddy, dad, papa, or something else entirely, a father is a key member of the family. This book emphasizes the importance of fathers and stepfathers and discusses the roles they play in a childs life.",10-12 tuổi
6102,My dad,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-dad-2.jpg,26-3,033,Katie Dicker,Sách tham khảo,Cuộc sống thường ngày,Wayland," Looking at the different relationships people have with their dad's, and how to build on these relationships and keep them strong.",10-12 tuổi
6117,My ears,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-ears.jpg,25-6,095,Lloyd Douglas,Sách tham khảo,Cơ thể,Children's Press,"Simple text introduces the functions of the human ear, as well as tools that can help people who have hearing problems.",10-12 tuổi
6118,My eyes,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-eyes.jpg,25-6,094,Lloyd Douglas,Sách tham khảo,Cơ thể,Children's Press,"Simple text introduces the functions of the human eye, as well as tools that can help people who have vision problems.",10-12 tuổi
6149,My five senses,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-five-senses.jpg,25-6,083,Gladys Rosa-Mendoza,Sách tham khảo,Cơ thể,Windmill Books,"Featuring an engaging mix of illustration and photography, this fun English-Spanish book takes parents and children through the five senses and introduces a wide vocabulary of different things that may be seen, smelled, tasted, heard or felt. Visits to the farm and the fair at the end allow readers to name all the things they can experience using their senses. A colorful way to explain how we explore, learn and enjoy the world around us. A pronunciation guide is included on the final pages.",10-12 tuổi
6160,My health: earaches,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-health-earaches.jpg,25-6,049,Alvin Silverstein,Sách tham khảo,Cơ thể,Franklin Watts,"Discusses the inside of the ear, how infections cause earaches, how they are treated, and ways to prevent them.",10-12 tuổi
6203,My nose,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-nose.jpg,25-6,096,Lloyd Douglas,Sách tham khảo,Cơ thể,Children's Press,"A simple introduction to the anatomy and functions of the nose, discussing the nostrils, smelling, and sneezing.",10-12 tuổi
6214,My senses help me,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/My-senses-help-me.jpg,25-6,070,Bobbie Kalman,Sách tham khảo,Cơ thể,Crabtree Publishing Company,A book about how our senses help us.,10-12 tuổi
6296,Natural disasters: moving earth,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Natural-disasters-moving-earth.jpg,27-6,004,Steve Parker,Sách tham khảo,Trái đất của chúng ta,Crabtree Publishing Company,"The natural forces of planet Earth have been responsible for some of the world's greatest devastation, such as the earthquakes and tsunamis in Japan in 2011 and the Indian Ocean in 2004. Thirteen kinds of disasters are featured in this amazing book, showing the process and science of each disaster from the action that triggered it to its dire consequences.",10-12 tuổi
6297,Natural disasters: violent weather,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Natural-disasters-violent-weather.jpg,27-6,003,Steve Parker,Sách tham khảo,Trái đất của chúng ta,Crabtree Publishing Company,"Detailed double page spreads on weather driven disasters, the science, the impact, and the ways we try wo survive .",10-12 tuổi
6304,Nature trail: pond,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Nature-trail-pond.jpg,27-5,015,Jen Green,Sách tham khảo,Trái đất của chúng ta,Wayland,"The books will guide a child through their personal exploration of different habitats. The reader will be encouraged to use key science skills to plan, observe, collect, record and and preserve their findings on their trail of nature.",10-12 tuổi
6322,Neptune,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Neptune.jpg,26-6,051,Ariel Kazunas,Sách tham khảo,Vũ trụ,Cherry Lake Publishing,"Travel to the far reaches of our solar system and learn about this distant, gaseous world.",10-12 tuổi
6617,Opals,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Opals.jpg,27-6,056,Eric Ethan,Sách tham khảo,Trái đất của chúng ta,Gareth Stevens Publishing,"Its hard to believe that opals come from the same element that makes sand, but its true. This book features that fact and many more about this beautiful gem. From the mines of southern Australia to pieces of very expensive jewelry, readers will see how opals go from raw stones to a fantastic finished product. Beautiful photographs present the rainbow of colors that brilliantly emit from these gems.",10-12 tuổi
6662,Our local area,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Our-local-area.jpg,27-6,008,Louise Spilsbury,Sách tham khảo,Trái đất của chúng ta,Franklin Watts,Introduces the first principles of geography to young readers in a friendly and accessible way.,10-12 tuổi
6668,Out and about: Woods,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Out-and-about-Woods.jpg,27-6,085,Katie Dicker,Sách tham khảo,Trái đất của chúng ta,Cherrytree Books,"Introduces forested areas in different seasons, shows readers some of the plants and animals they may find in woodlands, and presents fun activities to do there.",10-12 tuổi
6904,Plant patterns,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Plant-patterns.jpg,27-5,055,Aaron Carr,Sách tham khảo,Trái đất của chúng ta,Weigl Pub Inc ,"What patterns can be seen on a leaf? Do flowers show a pattern in their colors? Young readers will discover these patterns and more in Plant Patterns. Each World Languages title includes access to ten eBooks in ten languages! Our language toggle bar allows you to easily switch between English, Arabic, French, German, Hindi, Korean, Mandarin, Russian, Spanish, and Tagalog with a simple click. The full audio feature allows readers to listen to the text in their own language as they flip through the book. World Languages works on all platforms, including standard desktops, tablets, and SMART Boards.",10-12 tuổi
6905,Planting and growing,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Planting-and-growing.jpg,27-5,017,Sandy Green,Sách tham khảo,Trái đất của chúng ta,Franklin Watts,A series for young children featuring activities for learning outdoors. Each book provides step-by-step instructions and talking points. At the end 'notes for adults' gives tips for getting high-quality learning from the activities. The books are a brilliant resource for an outdoor classroom setting and for children visiting a forest school.,10-12 tuổi
6908,Plants are alive,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Plants-are-alive.jpg,27-6,075,Molly Aloian,Sách tham khảo,Trái đất của chúng ta,Crabtree Publishing Company,"Learn all about the wonders of the plant world! Discover what they need to survive, the parts of a plant, and the life cycle of plants.",10-12 tuổi
